School Year,Season,Sex,Division,Event,Qualifying Standard
2021-2022,winter,M,Division II State,Diving,192 x 2
2021-2022,winter,M,Division II State,100 Butterfly,59.00
2021-2022,winter,M,Division II State,100 Freestyle,52.67
2021-2022,winter,M,Division II State,500 Freestyle,5:23.09
2021-2022,winter,M,Division II State,200 Freestyle Relay,1:38.93
2021-2022,winter,M,Division II State,100 Backstroke,1:01.47
2021-2022,winter,M,Division II State,100 Breaststroke,1:08.21
2021-2022,winter,M,Division II State,400 Freestyle Relay,3:49.90
2020-2021,winter,M,Division I State,200 Medley Relay,2:03.90
2020-2021,winter,M,Division I State,200 Freestyle,1:57.09
2020-2021,winter,M,Division I State,200 Individual Medley,2:13.00
2020-2021,winter,M,Division I State,50 Freestyle,23.22
2020-2021,winter,M,Division I State,Diving,192 x 2
2020-2021,winter,M,Division I State,100 Butterfly,59.00
2020-2021,winter,M,Division I State,100 Freestyle,52.67
2020-2021,winter,M,Division I State,500 Freestyle,5:23.09
2020-2021,winter,M,Division I State,200 Freestyle Relay,1:38.93
2020-2021,winter,M,Division I State,100 Backstroke,1:01.47
2020-2021,winter,M,Division I State,100 Breaststroke,1:08.21
2020-2021,winter,M,Division I State,400 Freestyle Relay,3:49.90
2020-2021,winter,M,Division II State,200 Medley Relay,2:03.90
2020-2021,winter,M,Division II State,200 Freestyle,1:57.09
2020-2021,winter,M,Division II State,200 Individual Medley,2:13.00
2020-2021,winter,M,Division II State,50 Freestyle,24.00
2020-2021,winter,M,Division II State,Diving,192 x 2
2020-2021,winter,M,Division II State,100 Butterfly,59.00
2020-2021,winter,M,Division II State,100 Freestyle,52.67
2020-2021,winter,M,Division II State,500 Freestyle,5:23.09
2020-2021,winter,M,Division II State,200 Freestyle Relay,1:38.93
2020-2021,winter,M,Division II State,100 Backstroke,1:01.47
2020-2021,winter,M,Division II State,100 Breaststroke,1:08.21
2020-2021,winter,M,Division II State,400 Freestyle Relay,3:49.90
