School Year,Season,Sex,Place,School,Score
2001-2002,fall,F,1,Needham
2001-2002,fall,F,2,Brookline
2001-2002,fall,F,3,Dedham
2000-2001,fall,F,1,Needham
2000-2001,fall,F,2,Brookline
2000-2001,fall,F,3,Newton North
1999-2000,fall,F,1,Needham
1999-2000,fall,F,2,Wellesley
1999-2000,fall,F,3,Brookline
1998-1999,fall,F,1,Needham
1998-1999,fall,F,2,Framingham
1998-1999,fall,F,3,Brookline
1997-1998,fall,F,1,Natick
1997-1998,fall,F,2,Needham
1997-1998,fall,F,3,Framingham
1996-1997,fall,F,1,Needham
1996-1997,fall,F,2,Natick
1996-1997,fall,F,3,Framingham
1995-1996,fall,F,1,Natick
1995-1996,fall,F,2,Newton North
1995-1996,fall,F,3,Needham
1994-1995,fall,F,1,Natick
1994-1995,fall,F,2,Needham
1994-1995,fall,F,3,Newton North
1993-1994,fall,F,1,Natick
1993-1994,fall,F,2,Needham
1993-1994,fall,F,3,Wellesley
1992-1993,fall,F,1,Wellesley
1992-1993,fall,F,2,Needham
1992-1993,fall,F,3,Newton North
1991-1992,fall,F,1,Wellesley
1991-1992,fall,F,2,Needham
1991-1992,fall,F,3,Newton North
1990-1991,fall,F,1,Wellesley
1990-1991,fall,F,2,Needham
1990-1991,fall,F,3,Brookline
